,dateRep,day,month,year,cases,deaths,country,continent
27727,2020-01-20,20,1,2020,3.0,0.0,Spain,Europe
8577,2020-01-21,21,1,2020,0.0,0.0,Finland,Europe
27726,2020-01-21,21,1,2020,0.0,0.0,Spain,Europe
8576,2020-01-22,22,1,2020,0.0,0.0,Finland,Europe
27725,2020-01-22,22,1,2020,0.0,0.0,Spain,Europe
27724,2020-01-23,23,1,2020,2.0,0.0,Spain,Europe
8575,2020-01-23,23,1,2020,0.0,0.0,Finland,Europe
10594,2020-01-23,23,1,2020,1.0,0.0,Germany,Europe
9603,2020-01-23,23,1,2020,1.0,0.0,France,Europe
27723,2020-01-24,24,1,2020,2.0,0.0,Spain,Europe
8574,2020-01-24,24,1,2020,0.0,0.0,Finland,Europe
9602,2020-01-24,24,1,2020,2.0,0.0,France,Europe
8573,2020-01-25,25,1,2020,0.0,0.0,Finland,Europe
27722,2020-01-25,25,1,2020,1.0,0.0,Spain,Europe
9601,2020-01-25,25,1,2020,0.0,0.0,France,Europe
8572,2020-01-26,26,1,2020,0.0,0.0,Finland,Europe
27721,2020-01-26,26,1,2020,1.0,0.0,Spain,Europe
9600,2020-01-26,26,1,2020,0.0,0.0,France,Europe
9599,2020-01-27,27,1,2020,20.0,0.0,France,Europe
5669,2020-01-27,27,1,2020,0.0,0.0,Czechia,Europe
8571,2020-01-27,27,1,2020,0.0,0.0,Finland,Europe
27720,2020-01-27,27,1,2020,1.0,0.0,Spain,Europe
8570,2020-01-28,28,1,2020,1.0,0.0,Finland,Europe
5668,2020-01-28,28,1,2020,0.0,0.0,Czechia,Europe
27719,2020-01-28,28,1,2020,1.0,0.0,Spain,Europe
10593,2020-01-28,28,1,2020,2.0,0.0,Germany,Europe
9598,2020-01-28,28,1,2020,4.0,0.0,France,Europe
5667,2020-01-29,29,1,2020,0.0,0.0,Czechia,Europe
27718,2020-01-29,29,1,2020,4.0,0.0,Spain,Europe
10592,2020-01-29,29,1,2020,2.0,0.0,Germany,Europe
8569,2020-01-29,29,1,2020,0.0,0.0,Finland,Europe
9597,2020-01-29,29,1,2020,1.0,0.0,France,Europe
27717,2020-01-30,30,1,2020,1.0,0.0,Spain,Europe
9596,2020-01-30,30,1,2020,1.0,0.0,France,Europe
5666,2020-01-30,30,1,2020,0.0,0.0,Czechia,Europe
8568,2020-01-30,30,1,2020,0.0,0.0,Finland,Europe
27716,2020-01-31,31,1,2020,3.0,0.0,Spain,Europe
9595,2020-01-31,31,1,2020,0.0,0.0,France,Europe
10591,2020-01-31,31,1,2020,4.0,0.0,Germany,Europe
8567,2020-01-31,31,1,2020,0.0,0.0,Finland,Europe
5665,2020-01-31,31,1,2020,0.0,0.0,Czechia,Europe
27745,2020-02-01,2,1,2020,0.0,0.0,Spain,Europe
8596,2020-02-01,2,1,2020,0.0,0.0,Finland,Europe
10595,2020-02-01,2,1,2020,1.0,0.0,Germany,Europe
8565,2020-02-02,2,2,2020,0.0,0.0,Finland,Europe
18187,2020-02-02,2,2,2020,0.0,0.0,Lithuania,Europe
5663,2020-02-02,2,2,2020,0.0,0.0,Czechia,Europe
9593,2020-02-02,2,2,2020,0.0,0.0,France,Europe
27714,2020-02-02,2,2,2020,10.0,0.0,Spain,Europe
10570,2020-02-03,2,3,2020,43.0,0.0,Germany,Europe
19154,2020-02-03,2,3,2020,0.0,0.0,Luxembourg,Europe
23967,2020-02-03,2,3,2020,2.0,0.0,Portugal,Europe
965,2020-02-03,2,3,2020,5.0,0.0,Austria,Europe
1937,2020-02-03,2,3,2020,19.0,,Belgium,Europe
14298,2020-02-03,2,3,2020,0.0,0.0,Ireland,Europe
6596,2020-02-03,2,3,2020,4.0,0.0,Denmark,Europe
8536,2020-02-03,2,3,2020,0.0,0.0,Finland,Europe
11561,2020-02-03,2,3,2020,0.0,0.0,Greece,Europe
27685,2020-02-03,2,3,2020,802.0,0.0,Spain,Europe
13335,2020-02-03,2,3,2020,2.0,,Iceland,Europe
16241,2020-02-03,2,3,2020,0.0,0.0,Latvia,Europe
5634,2020-02-03,2,3,2020,0.0,0.0,Czechia,Europe
21089,2020-02-03,2,3,2020,5.0,0.0,Netherlands,Europe
15266,2020-02-03,2,3,2020,342.0,18.0,Italy,Europe
28701,2020-02-03,2,3,2020,5.0,0.0,Sweden,Europe
7568,2020-02-03,2,3,2020,1.0,0.0,Estonia,Europe
3867,2020-02-03,2,3,2020,1.0,0.0,Croatia,Europe
9564,2020-02-03,2,3,2020,46.0,0.0,France,Europe
17190,2020-02-03,2,3,2020,0.0,0.0,Liechtenstein,Europe
18158,2020-02-03,2,3,2020,0.0,0.0,Lithuania,Europe
22059,2020-02-03,2,3,2020,12.0,,Norway,Europe
11530,2020-02-04,2,4,2020,129.0,0.0,Greece,Europe
16210,2020-02-04,2,4,2020,12.0,0.0,Latvia,Europe
1906,2020-02-04,2,4,2020,1478.0,214.0,Belgium,Europe
10539,2020-02-04,2,4,2020,6549.0,420.0,Germany,Europe
17159,2020-02-04,2,4,2020,3.0,0.0,Liechtenstein,Europe
8505,2020-02-04,2,4,2020,161.0,6.0,Finland,Europe
2874,2020-02-04,2,4,2020,28.0,0.0,Bulgaria,Europe
28670,2020-02-04,2,4,2020,554.0,70.0,Sweden,Europe
24877,2020-02-04,2,4,2020,278.0,23.0,Romania,Europe
7537,2020-02-04,2,4,2020,93.0,3.0,Estonia,Europe
15235,2020-02-04,2,4,2020,4668.0,760.0,Italy,Europe
22028,2020-02-04,2,4,2020,198.0,4.0,Norway,Europe
4642,2020-02-04,2,4,2020,36.0,1.0,Cyprus,Europe
21058,2020-02-04,2,4,2020,1083.0,164.0,Netherlands,Europe
934,2020-02-04,2,4,2020,433.0,18.0,Austria,Europe
9533,2020-02-04,2,4,2020,2116.0,471.0,France,Europe
26786,2020-02-04,2,4,2020,40.0,1.0,Slovenia,Europe
6565,2020-02-04,2,4,2020,0.0,18.0,Denmark,Europe
5603,2020-02-04,2,4,2020,268.0,6.0,Czechia,Europe
20098,2020-02-04,2,4,2020,7.0,0.0,Malta,Europe
